,comment,blacklist_suggestions,story_coherence,readability,rating_time,warm_up,user_suggestions,story_edit,story_old,implicit_fact_check,context_realization,false_gender,false_mood,topic_met,matches_style_tone,spelling_and_grammar,info_consistency,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,hash,version,amount_fallbacks,duration_generation,dur_score,user,date,avg_rating
0,-1,-1,100,100,11:20,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107875,2,,,,,,243,,,,,12807,2022-10-13 17:37:07,100.0
1,-1,-1,100,100,11:40,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107768,6,,,,,,136,,,,,12807,2022-10-13 17:48:49,100.0
2,-1,-1,100,100,10:42,1,-1,-1,-1,-1,-1,-1,-1,75,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107982,3,,,,,,350,,,,,12807,2022-10-13 17:59:33,95.83333333333333
3,-1,-1,75,100,10:8,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107653,4,,,,,,21,,,,,12807,2022-10-13 18:09:43,95.83333333333333
4,-1,-1,75,100,13:47,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107858,1,,,,,,226,,,,,12807,2022-10-13 18:23:33,95.83333333333333
5,-1,-1,100,100,7:8,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107733,5,,,,,,101,,,,,12807,2022-10-13 18:30:43,100.0
6,-1,-1,100,100,1:30,1,-1,-1,-1,-1,-1,-1,-1,75,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107753,6,,,,,,121,,,,,12805,2022-10-13 18:31:14,95.83333333333333
7,-1,-1,100,100,3:49,1,-1,-1,-1,-1,-1,-1,-1,75,100,90,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,107865,1,,,,,,233,,,,,12805,2022-10-13 18:35:05,90.0
8,-1,-1,100,100,2:50,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107972,3,,,,,,340,,,,,12805,2022-10-13 18:37:57,100.0
9,-1,-1,75,75,3:22,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107657,4,,,,,,25,,,,,12805,2022-10-13 18:41:20,90.0
10,-1,-1,100,100,2:36,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107915,2,,,,,,283,,,,,12805,2022-10-13 18:43:58,100.0
11,-1,-1,100,100,15:14,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107959,3,,,,,,327,,,,,12807,2022-10-13 18:45:59,100.0
12,-1,-1,100,100,7:7,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,107880,2,,,,,,248,,,,,12807,2022-10-13 18:53:07,100.0
