turn,comment,blacklist_suggestions,overall_quality,factual_correctness,readability,rating_time,warm_up,user_suggestions,action_coherence,linguistic_difference,content_similarity,identical_information,exhaustive_information,story_edit,story_old,grammar,implicit_fact_check,citation_correct,context_realization,false_gender,false_mood,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,story_hash,version,amount_fallbacks,duration_generation,dur_score,user,date,avg_rating,model
98,,,70.0,100.0,100.0,16:31,1,,100.0,50.0,90.0,100.0,100.0,,,80.0,100,100.0,,100.0,100.0,,Inhalt gut übernommen&comma; wenig Fehler,-1,Recht wenig sprachlicher Unterschied,-1,,,,,104637,1,,,,,,fa98331a486061a8d9bfe794af4b0042,,0,3.383.197.498.321.530,9.400.473.594.665.520,53332,2022-09-08 10:36:40,91.53846153846153,Maskito_v0.1.4_SOTA
98,,,60.0,100.0,75.0,12:38,1,,100.0,50.0,80.0,100.0,100.0,,,90.0,100,100.0,,100.0,100.0,,Inhalt größtenteils gut übernommen,-1,Teils unschöner Ausdruck,Die gesamte 5000 Quadratmeter große Fabrikhalle brannte in der Nacht vollständig mit Behältern für Säuren und Laugen,,,,,104614,1,,,,,,a5652fd73b54f1d9c8859fbaaa889625,,0,2.072.137.951.850.890,671.800.422.668.457,53332,2022-09-08 10:49:19,88.84615384615384,Maskito_v0.1.4_SOTA
98,,,50.0,100.0,75.0,11:16,0,,100.0,50.0,80.0,75.0,100.0,,,90.0,100,90.0,,100.0,100.0,,Inhalt größtenteils gut übernommen,-1,Recht viele Fehler im Verhältnis zur Textlänge,Der Österreicher sagte am Freitag bei einer Online-Pressekonferenz&comma; dass alle wollen uns jetzt schlagen,,,,,104650,1,,,,,,cbe796c16d9f58ed7567376761b04186,,0,20.308.868.646.621.700,5.880.252.838.134.760,53332,2022-09-08 11:14:20,85.38461538461539,Maskito_v0.1.4_SOTA
98,,,70.0,100.0,100.0,07:26,1,,100.0,60.0,90.0,100.0,100.0,,,100.0,75,100.0,,100.0,100.0,,-1,-1,-1,-1,,,,,104661,1,,,,,,db3ff6e9d16c0871de29feebf7938a36,,0,23.704.447.269.439.600,6.391.914.129.257.200,79689,2022-09-08 11:15:19,91.92307692307692,Maskito_v0.1.4_SOTA
98,,,20.0,100.0,75.0,22:16,1,,75.0,30.0,70.0,100.0,100.0,,,90.0,75,100.0,,,,,-1,-1,Sprachliche Unterschiedlichkeit nicht wirklich gegeben + Fehler auf faktischer Ebene,-1,,,,,104612,1,,,,,,ea7351abbaeb53db6b6506e79e4e30d7,,0,7.100.731.253.623.960,3.733.693.814.277.640,79689,2022-09-08 11:48:20,75.9090909090909,Maskito_v0.1.4_SOTA
98,,,60.0,100.0,100.0,13:6,0,,100.0,50.0,100.0,100.0,100.0,,,100.0,100,100.0,,100.0,100.0,,-1,-1,-1,-1,,,,,104654,1,,,,,,e2f58e644cc6244b1b07dbfafb5e6b9c,,0,2.751.126.265.525.810,836.007.046.699.524,79689,2022-09-08 12:11:13,93.07692307692308,Maskito_v0.1.4_SOTA
98,,,70.0,100.0,100.0,10:7,1,,100.0,70.0,90.0,100.0,100.0,,,100.0,75,100.0,,,,,keine sprachlichen Fehler,-1,-1,-1,,,,,104653,1,,,,,,60dfbf02c7ee8d2c4e3e616f91f17633,,0,19.635.560.750.961.300,66.671.059.131.622.300,70828,2022-09-09 12:50:52,91.36363636363636,Maskito_v0.1.4_SOTA
98,,,20.0,100.0,0.0,06:36,1,,75.0,70.0,70.0,100.0,75.0,,,30.0,75,100.0,,100.0,100.0,,-1,-1,viele sprachliche Fehler,-1,,,,,104639,1,,,,,,f42d85452dc2ae68bf473f29c6b58438,,0,18.329.973.697.662.300,51.140.782.833.099.300,70828,2022-09-09 13:17:58,70.38461538461539,Maskito_v0.1.4_SOTA
98,,,80.0,100.0,75.0,10:22,1,,100.0,90.0,80.0,100.0,100.0,,,90.0,100,100.0,,100.0,100.0,,1. Sehr schön umformuliert. Sätze mit der Satzbaustruktur werden häufiger fehlerhaft paraphrasiert,1. &quot;Die erste Corona-Welle Anfang 2020 hatte vor allem die Stadt Bergamo in der Lombardei schwer getroffen. &quot;,1. Aus Plural wurde SingularDer Tempus wurde geändert.2. Ausdruck nicht so schön,1. &quot;Das teilte der Veranstalter des Bergamo Film Festivals am Freitag mit.&quot; 2. &quot;Zur Erläuterung hieß es&comma; dass der Künstler (&quot;Die Blechtrommel&quot;&comma; &quot;Homo Faber&quot;) ein &quot;facettenreicher und höchst kreativer Autor&comma; der oft von Literatur inspiriert ist&quot;.&quot;,,,,,104649,1,,,,,,7f6b1492c966cd7ba88e255b9694bf04,,0,16.189.091.682.434.000,3.618.467.330.932.610,89491,2022-09-09 13:31:18,93.46153846153847,Maskito_v0.1.4_SOTA
98,,,60.0,100.0,75.0,19:46,0,,100.0,70.0,80.0,100.0,100.0,,,80.0,75,100.0,,100.0,100.0,,viele Umstellungen,-1,ein gravierender impliziter Fact Check Fehler,Input: Das muslimische Turkvolk fühlt sich von den herrschenden Han-Chinesen unterdrückt.  Output: Die herrschenden Han-Chinesen fühlen sich von dem muslimischen Turkvolk unterdrückt,,,,,104646,1,,,,,,dde6b3a21b3aab3d0e566e5c33d6062c,,1,3.373.620.080.947.870,9.448.833.703.994.750,70828,2022-09-09 13:37:46,87.6923076923077,Maskito_v0.1.4_SOTA
