comment,blacklist_suggestions,story_coherence,readability,rating_time,warm_up,user_suggestions,story_edit,story_old,implicit_fact_check,context_realization,false_gender,false_mood,topic_met,matches_style_tone,spelling_and_grammar,info_consistency,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,hash,version,amount_fallbacks,duration_generation,dur_score,user,date
-1,-1,100,75,4:55,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98025,5,,,,,,11,,,,,12802,2022-07-19 19:37:32
-1,-1,100,75,0:54,1,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98204,1,,,,,,190,,,,,12802,2022-07-19 19:38:28
-1,-1,100,100,1:20,1,-1,-1,-1,-1,-1,-1,-1,100,25,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98323,3,,,,,,309,,,,,12802,2022-07-19 19:39:49
-1,-1,100,100,0:36,1,-1,-1,-1,-1,-1,-1,-1,100,50,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98096,6,,,,,,82,,,,,12802,2022-07-19 19:40:27
-1,-1,100,100,0:32,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98157,4,,,,,,143,,,,,12802,2022-07-19 19:41:02
-1,-1,50,100,1:8,0,-1,-1,-1,-1,-1,-1,-1,75,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98293,2,,,,,,279,,,,,12802,2022-07-19 19:42:11
-1,-1,75,100,0:47,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98239,1,,,,,,225,,,,,12802,2022-07-19 19:43:00
-1,-1,75,100,4:15,0,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98104,6,,,,,,90,,,,,12802,2022-07-19 19:47:16
-1,-1,75,100,0:39,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98302,2,,,,,,288,,,,,12802,2022-07-19 19:47:57
-1,-1,100,100,0:29,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98054,5,,,,,,40,,,,,12802,2022-07-19 19:48:27
-1,-1,100,100,0:37,0,-1,-1,-1,-1,-1,-1,-1,75,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98161,4,,,,,,147,,,,,12802,2022-07-19 19:49:17
-1,-1,100,100,1:6,0,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98316,3,,,,,,302,,,,,12802,2022-07-19 19:50:29
-1,-1,50,100,1:0,0,-1,-1,-1,-1,-1,-1,-1,50,100,0,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98284,2,,,,,,270,,,,,12802,2022-07-19 19:51:32
-1,-1,75,100,0:38,0,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98186,4,,,,,,172,,,,,12802,2022-07-19 19:52:17
-1,-1,100,100,0:44,0,-1,-1,-1,-1,-1,-1,-1,75,75,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98227,1,,,,,,213,,,,,12802,2022-07-19 19:53:03
Der Satz &quot;Geh raus und tu etwas&comma; das dich glücklich macht.&quot; wiederholt sich,-1,100,100,1:44,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,98114,6,,,,,,100,,,,,12802,2022-07-19 19:54:49
