comment,blacklist_suggestions,overall_quality,factual_correctness,readability,rating_time,warm_up,user_suggestions,action_coherence,linguistic_difference,content_similarity,identical_information,exhaustive_information,story_edit,story_old,grammar,implicit_fact_check,citation_correct,context_realization,false_gender,false_mood,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,hash,version,amount_fallbacks,duration_generation,dur_score,user,date
-1,-1,50,100,75,30:10,1,-1,75,70,50,100,100,-1,-1,90,25,100,-1,100,100,-1,-1,-1,viele inhaltliche Fehler,-1,-1,-1,-1,-1,104685,2,,,,,,b155c0785db7fa51bbc62e8dc7e93900,,0,21.949.435.234.069.800,1.534.914.493.560.790,70828,2022-09-07 20:11:57
-1,-1,60,100,75,8:29,1,-1,100,50,80,100,75,-1,-1,100,100,100,-1,100,-1,-1,Inhalt größtenteils gut übernommen,-1,Zwar nur kleine Fehler&comma; doch zu viele für so einen kurzen Text,wegen =/= durch,-1,-1,-1,-1,104675,2,,,,,,36c100644016d71d2db5e6d7ce99e785,,0,6.382.257.461.547.850,4.255.965.948.104.850,53332,2022-09-08 10:20:08
-1,-1,70,100,100,16:31,1,-1,100,50,90,100,100,-1,-1,80,100,100,-1,100,100,-1,Inhalt gut übernommen&comma; wenig Fehler,-1,Recht wenig sprachlicher Unterschied,-1,-1,-1,-1,-1,104637,1,,,,,,fa98331a486061a8d9bfe794af4b0042,,0,3.383.197.498.321.530,9.400.473.594.665.520,53332,2022-09-08 10:36:40
-1,-1,60,100,75,12:38,1,-1,100,50,80,100,100,-1,-1,90,100,100,-1,100,100,-1,Inhalt größtenteils gut übernommen,-1,Teils unschöner Ausdruck,Die gesamte 5000 Quadratmeter große Fabrikhalle brannte in der Nacht vollständig mit Behältern für Säuren und Laugen,-1,-1,-1,-1,104614,1,,,,,,a5652fd73b54f1d9c8859fbaaa889625,,0,2.072.137.951.850.890,671.800.422.668.457,53332,2022-09-08 10:49:19
-1,-1,60,100,75,13:43,1,-1,100,70,90,100,100,-1,-1,80,100,100,-1,100,100,-1,Inhalt größtenteils gut übernommen,-1,Teils falsch oder unschön ausgedrückt,Auch Firmen&comma; die Verluste aus den Corona-Jahren 2020 und 2021 umfangreicher mit vorherigen Gewinnen verrechnen&comma; will es der großen Koalition ermöglichen,-1,-1,-1,-1,104683,2,,,,,,38f64025271be44d8d954887e894f4ce,,0,10.904.794.692.993.100,7.112.862.825.393.670,53332,2022-09-08 11:03:03
-1,-1,50,100,75,11:16,0,-1,100,50,80,75,100,-1,-1,90,100,90,-1,100,100,-1,Inhalt größtenteils gut übernommen,-1,Recht viele Fehler im Verhältnis zur Textlänge,Der Österreicher sagte am Freitag bei einer Online-Pressekonferenz&comma; dass alle wollen uns jetzt schlagen,-1,-1,-1,-1,104650,1,,,,,,cbe796c16d9f58ed7567376761b04186,,0,20.308.868.646.621.700,5.880.252.838.134.760,53332,2022-09-08 11:14:20
-1,-1,70,100,100,7:26,1,-1,100,60,90,100,100,-1,-1,100,75,100,-1,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,104661,1,,,,,,db3ff6e9d16c0871de29feebf7938a36,,0,23.704.447.269.439.600,6.391.914.129.257.200,79689,2022-09-08 11:15:19
-1,-1,30,100,100,10:43,1,-1,100,40,80,100,100,-1,-1,100,75,100,-1,100,100,-1,-1,-1,Sprachliche Unterschiedlichkeit: Syntax ausnahmslos in allen Sätzen abgeändert&comma; die Wortwahl allerdings in nur ein paar Sätzen,-1,-1,-1,-1,-1,104705,2,,,,,,2d35054268ffbf728e861176698ee546,,0,12.406.486.511.230.400,8.563.277.006.149.290,79689,2022-09-08 11:26:03
-1,-1,60,100,50,11:11,0,-1,100,50,80,100,100,-1,-1,80,100,100,-1,100,100,-1,Inhalt größtenteils gut übernommen,-1,u.a. Abzüge in Ausdruck,Im Osten können sich feuchtere Luftmassen nur länger halten&comma; für Wolken und immer wieder Schneefall sorgen,-1,-1,-1,-1,104687,2,,,,,,14f77aff3eb2d2a5658d0b39739981b1,,0,22.397.558.212.280.200,17.447.648.525.238.000,53332,2022-09-08 11:42:17
-1,-1,20,100,75,22:16,1,-1,75,30,70,100,100,-1,-1,90,75,100,-1,-1,-1,-1,-1,-1,Sprachliche Unterschiedlichkeit nicht wirklich gegeben + Fehler auf faktischer Ebene,-1,-1,-1,-1,-1,104612,1,,,,,,ea7351abbaeb53db6b6506e79e4e30d7,,0,7.100.731.253.623.960,3.733.693.814.277.640,79689,2022-09-08 11:48:20
